Var1,Freq,Resolution,Sum
The police department responded to the complaint and took action to fix the condition.,619,Fixed,619
The police department responded and upon arrival those responsible for the condition were gone.,545,No Action,
The police department responded to the complaint and determined that police action was not necessary.,625,No Action,
The police department responded to the complaint and with the information available observed no evidence of the violation at that time.,758,No Action,
The police department responded to the complaint but officers were unable to gain entry into the premises.,5,No Action,
The police department reviewed your complaint and provided additional information below.,144,No Action,
This complaint does not fall under the police department's jurisdiction.,26,No Action,
Your request can not be processed at this time because of insufficient contact information. please create a new service request on nyc.gov and provide more detailed contact information.,62,No Action,2165
The police department responded to the complaint and a report was prepared.,3,Report,3
The police department issued a summons in response to the complaint.,353,Ticket/summons,353
The police department made an arrest in response to the complaint.,2,Arrest,2